Korean	English
저벅(저벅)	STEP TRUDGE (STRIDE) (TRAMP)
절뚝	LIMP  STAGGER STUMBLE
절레 절레	SHAKE
절벅절벅	SPLASH (SLOSH)
주르륵	DROOL (DRIBBLE) DRIP PANIC SWEAT
주륵	DRIP PANIC SWEAT
주춤	FREEZE HALT HESITATE PAUSE WAVER STUMBLE FALTER STEP STAGGER SCOOT
중얼(중얼)	MUMBLE MUTTER
즉답	DIRECT QUICK
지그시	STARE (GLANCE)
지글지글	SIZZLE CRACKLE
지잉	BZZT
지이이잉	PEW ZZZZZZTTT
질끈	CRINGE WINCE
짹짹	CHIRP CHIRP COO COO CAW (CROWS, SEAGULLS) CHIRP SQUAWK TWEET
쩌억	DROP GAPE (GURGLE) (if mouth is open with bubbles or liquid)
쪼옥	KISS PECK SMOOCH (CHU)
쪽	KISS PECK SMOOCH (CHU)
쭈우욱	STRETCH
쭈욱	PLUCK
쭉	
쯧쯧	HMPH TSK (TSK TSK - if judging)
찌릿	ZAP FIZZLE PZZZT BZZZT FZZZT SPARK
찌릿	GLARE
찍	SQUEAK, SKREEK
찝찝	AWKWARD
찰싹	EMBRACE GRAB HUG SQUEEZE
찰싹	EMBRACE GRAB SQUEEZE
찰칵	SPARK (CLICK)
챙	CLASH/CLANG CLANK CLINK SWASH CLANG KRAACK CLASH CLUNK (WOODEN SWORDS) SKREEK (끼기기긱)
처억	BRANDISH RAISE
척	STEP TRUDGE (STRIDE) (TRAMP)
철벅	SPLASH
철커덕	CLANK CLINK TAP
쳇	HMPH TSK (TSK TSK - if judging)
총총	STEP STEP STEP
촤앗	SLAP SMACK SWAT SWACK
추욱	GLUM
츄	KISS PECK SMOOCH (CHU)
치익	FLICK CHK
치지지직	CRACKLE FIZZLE (SIZZLE)
카강	CLASH/CLANG CLANK CLINK SWASH CLANG KRAACK CLASH CLUNK (WOODEN SWORDS) SKREEK (끼기기긱)
캬악	SHRIEK
컹컹	ARF BARK GROWL GRRR WOOF
코오오	SNOOZE BREATHE ZZZZ
콰과쾅	CRACKLE RUMBLE (KRA— KOOM)
콰앙	BOOM KABOOM CRASH CRACK BANG BLAST
콰직	SMACK WHAM
콱	BITE CHOMP (SNARE) (SNATCH)
콸콸	POUR (GLUG)
쾅	BANG
쿠당탕	CRASH CLATTER SCUFFLE TUMBLE (WRESTLE) (GRAPPLE)
쿠룩	KEGH, KLEGH, KHOFF
쿠르릉	SNARL/GROWL
쿠우우	SNOOZE BREATHE ZZZZ
쿠울	SNOOZE BREATHE ZZZZ
쿡	PIERCE POKE STAB
쿨쿨	SNOOZE BREATHE ZZZZ
쿵	DESPAIR (SINK)
쿵	THUMP
크르르	GRRR GROWL ROAR
킁	SNIFF SNOOZE ZZZZ (SNORE)
키엑	SHRIEK
타닥	TYPE TAP
타닥	GALLOP GALLOP
타앙	SWISH
탁	SLAP SMACK SWAT SWACK
탁	TYPE TAP
탁	CLICK CLACK
탕	SLAM
탕	BANG
털썩	FLOP SIT SLIDE THUD
투닥투닥	BICKER SQUABBLE QUARREL
툭	DROP PLACE KTUNK THUD (If heavy) BONK THUMP WHOMP (BUMP) (THWHAP) JAB NUDGE
퉁	SWOLLEN (PUFFY)
퉁	thwip
팅	TWING, THWOCK, TWANG
파스스	FWOOSH, FSSSH
파앗	(1) FLASH (2) VANISH
파지직	VZZT
팍	PAT STROKE PET WHACK (if hard)
팍	POKE PRICK (PIERCE)
팍	SLAM (BANG)
팍	SLAP SMACK SWAT SWACK
팟	FWIP SHWP VANISH FLASH
퍽	WHAM WHACK KICK BAM
퍽	THWACK POW  THUD SMACK
퍽	PUSH SHOVE
펄럭	FLUTTER 
펄썩	FLOP
펑	KABOOM FZZZ POW PSHOOO POP
포옥	EMBRACE GRAB HUG SQUEEZE
푸드덕	FLAP FLUTTER
푸욱	PIERCE POKE STAB
푸욱	DROOP SLOUCH SLUMP (DROP) (SINK)
푹	PIERCE POKE STAB
푹	DROOP SLOUCH SLUMP (DROP) (SINK)
풀썩	FLOP SIT SLIDE THUD
풉	SPIT PUH (PFFT)
피식	BEAM GRIN SMILE SMIRK (PLEASED) (ALL SMILES)
하아	HA AH HAH *GASP*
하으아아아함	HAAAAH (verbal sound) YAWN
핫	BREATHE INHALE GASP HUFF PHEW (relief)  WHEW SIGH
허둥지둥	HASTY PANIC RUSH FLUSTERED (feeling)
헉	PANT HUFF SURPRISED GASP FLINCH JOLT
헤벌쭉	BEAM GRIN SMILE SMIRK (PLEASED) (ALL SMILES)
호로록	SIP SLURP
화끈	BLUSH FLUSH (angry)
화륵	BLAZE
활짝	BEAM GRIN SMILE SMIRK (PLEASED) (ALL SMILES)
홱	SHOO
후다닥	RUSH TAP TAP TAP DASH CLACK CLACK CLACK (in heels) STOMP STOMP STOMP (angrily walking) SPRINT     SCRAMBLE SWERVE (SCAMPER)
후비적	SCRATCH (PICK) (DIG)
후우	BREATHE INHALE GASP HUFF PHEW (relief)  WHEW SIGH
후줄근	SCRUFFY
훅	FWIP SHWP VANISH FLASH
훌쩍	DRIBBLE OOZE (SNIFFLE) (SNIF)
휘청	STUMBLE TRIP
휙	GRAB SNAG SNATCH YANK
휙	EMBRACE GRAB HUG SQUEEZE
휙	GLANCE TURN (PEEK) (GLIMPSE)
휙	DRAG TUG YANK WRENCH PULL
휙	FWIP SHWP VANISH FLASH
휙	AVERT AVOID TURN (DISMISSED)
휙	WAVE
휴	BREATHE INHALE GASP HUFF PHEW (relief)  WHEW SIGH
흐윽	HIC HNG BOOHOO SOB
흐흑	WEEP SOB WAIL SNIFFLE SNIFF HIC HNG BOOHOO
흑	HIC HNG BOOHOO SOB
흔들	SHAKE
흠칫	FLINCH TWITCH
흣	BEAM GRIN SMILE SMIRK (PLEASED) (ALL SMILES)
힐끔	GLANCE
힝	HIC HNG BOOHOO SOB
힝구	HIC HNG BOOHOO SOB
후우	DRAG INHALE HOO EXHALE PUFF
잠잠	DEEP THOUGHT FOCUSED PONDER (PENSIVE)
쫑긋	PERK (ALERT)
갈팡질팡	FLAIL (PANIC)
쿵쿵	STOMP (DASH)
욱신	PANG
골똘	PONDER WONDER
멍	DAZED/DUMBFOUNDED
추욱	DESPAIR
또옥	TAP TAP
큐	GYUU/KYUU MEW KREE NOM TRILL SNUFF YIP
꿀꿀	GRUNT OINK SNORT GWEEEEK / GWEEEE
사사삭	PSHHK, FWISH 
푸슉	SHLUNK
피융	PEW
쫘악	SNAP, SLASH, FWIP
에헴	ahem
메에	baa
흥	bah
꺼억	belch
우우	boo
삐약삐약	cheep-cheep
딩동	chime
재잘재잘	chatter
쨍그랑	clang
짝짝	clap
꼬꼬댁	cluck
뻐꾹	cuckoo
이크	eek
콜록콜록	hack
딸꾹	hiccup
흠	huh
음매	moo
아야	ouch ow
퐁당	plop
꽥꽥	quack
쉿	shush
싹둑	snip
똑딱똑딱	tick-tock
웩	ugh
쌩	whizz
히죽히죽	
퍼뜩	
폴짝	
철썩	
질질	
쭈뼛쭈뼛	
이글이글	
뭉게뭉게	
울컥	
바삭	
발끈	
오도독	
쓱싹쓱싹	
씰룩	
스르르	
글썽	
덜컥	
첨벙	
살랑살랑	
복슬복슬	
