					
	Korean	Definition	English	Context	Hashtags
	딩동댕	실로폰이나 차임벨이 울리는 소리를 나타내는 말	DING DONG DING DING		#소리
	따가닥	단단한 바닥에 급히 부딪치는 소리가 잇따라 나다	CLIP CLOP CLOP CLOP GALLOP		#큰모션 #소리 #행동
	따르릉	전화벨이나 자전거 벨, 자명종 따위가 급히 울리는 소리	RING (RRRING) BRRR		#소리
	딱	정확히 맞닿거나 들어맞는 모양	STARE (GLANCE)		#작은모션 #눈
	딸깍	작고 단단한 물건을 누를 때 나는 소리	CLICK CLACK		#소리
	딸랑	작은 방울이나 매달린 물체 따위가 세게 흔들릴 때 나는 소리	DING		#소리 #큰소리
	떽	갑자기 화를 내면서 소리를 몹시 지르거나 매우 억지스럽게 기를 쓰는 모양을 나타내는 말	YELL BARK SHOUT BLURT BLARE		#소리 #화남 #급작
	또각	구둣발이 단단한 바닥에 잇따라 급히 부딪치는 소리	CLICK CLICK CLICK CLACK		#모션 #소리
	똑똑	실내에 들어가기 전에 가볍게 문을 두드리다	KNOCK KNOCK		#작은소리 #소리
	똑똑	빗물, 눈석임물, 고드름 따위가 녹아 처마끝에서 떨어지는 물	DRIP DRIP  (DRIP DROP)		#액체 #소리
	뚜둑	크고 단단한 물건이 부러지거나 끊어지는 소리	SNAP		#부서짐 #큰소리
	뚜르르	전화벨이나 자전거 벨, 자명종 따위가 급히 울리는 소리	RING (RRRING) BRRR		#소리
	뚜벅	조금 무겁고 뚜렷한 발자국 소리를 내며 일정한 속도로 걷는 소리를 나타내는 말	STOMP CLOMP 		#모션 #소리
	뚝	작은 물체가 가볍게 떨어지는 소리	DRIP DROP		#액체 #소리
	뚝	크고 단단한 물건이 부러지거나 끊어지는 소리	SNAP		#부서짐 #소리
	띠리링	전화벨이나 자전거 벨, 자명종 따위가 급히 울리는 소리	RING (RRRING) BRRR		#소리
	띠링	전자 기기 따위에서 어떤 상황을 알려 주는 소리	DING		#소리
	띠용	놀라거나 어리둥절할 때 쓰는 말	DING		#감정 #느낌
	띡	전자 기기 따위에서 입력 신호에 따라 짧게 나는 소리	BEEP		#소리
	만지작	가볍게 주무르듯이 자꾸 만지다	CARESS TOUCH		#스킨쉽 #모션
	머쓱	몹시 부끄러워 얼굴이 빨개지다	BLUSH FLUSH (angry)		#표정 #감정 #얼굴
	머쓱	흥이 꺾이거나 무안을 당해 쑥스럽고 어색하다	FLATTERED SHY		#표정 #감정
	멈칫	하던 일이나 동작을 갑자기 멈추는 모양을 나타내는 말	FREEZE HESITATE PAUSE WAVER PAUSE STOP HALT		#작은모션 #행동
	멍	정신이 혼미해져 멍한 상태가 되다	BLANK STARE		#표정 #감정 #얼굴
	멍멍	개가 짖는 소리	WOOF RUFF BARK ARF YAP (SMALL DOGS) YIP (SMALL DOGS)		#동물 #소리
	메롱	주로 어린아이들이 혀를 쏙 내밀며 상대방을 놀릴 때 하는 말	NYAAA		#작은모션
	모락모락	연기나 냄새 따위가 조금씩 위로 올라가는 모양	SWIRL WAFT (STEAMY)		#느낌 #상태
	무감흥	어떤 일에 대하여 관심이 없음	UNIMPRESSED UNBOTHERED		#감정
	바글 바글	많이 모여 어수선하게 자꾸 움직이다	CROWDED		#군중 #모습
	바들 바들	몸이나 팔다리를 작게 조금씩 자꾸 떠는 모양	TREMBLE SHAKE SHIVER (if cold) QUIVER		#몸 #상태 #모션
	박박	세게 긁거나 문대는 소리를 자꾸 내다	SCRATCH RUFFLE  SCRUFF		#작은모션 #행동 #소리
	반짝반짝	사람 또는 물건이 화려하고 예쁘장한 모양	SPARKLE FLASH GLIMMER DAZZLE (BLING)		#느낌
	발그레	몹시 부끄러워 얼굴이 빨개지다	BLUSH FLUSH (angry)		#표정 #감정 #얼굴
	발라당	팔이나 다리를 벌리고 가볍게 뒤로 눕거나 자빠지는 모양을 나타내는 말	FLOP		#행동 #모션
	버둥	1. 매달리거나 눕거나 주저앉아서 팔다리를 내저으며 몸을 자꾸 움직이다 2. 매우 힘들고 곤란한 처지에서 벗어나려고 억척스럽게 애를 쓰다 3. 내저으며 자꾸 움직이다	WRIGGLE WIGGLE FLAIL STRUGGLE		#고통 #모션 #행동
	버럭	1.갑자기 화를 내면서 소리를 몹시 지르거나 매우 억지스럽게 기를 쓰는 모양을 나타내는 말 2.목청을 높여서 크게 내다	SHOUT YELL HOLLER (BARK) (ROAR) YELL BARK SHOUT BLURT BLARE ARGH GRAA		#큰소리 #화남 #급작
	벅벅	세게 긁거나 문대는 소리를 자꾸 내다	SCRATCH RUFFLE  SCRUFF		#작은모션 #행동 #소리
	번뜩	1. 생각 따위가 갑자기 떠오르는 모양 2. 자꾸 눈을 부릅떠서 번뜩이다.	OPEN FLASH		#작은모션 #눈
